City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,anadyr,64.75,177.4833,-11.72,78,56,11.0,RU,1699909997
123,midvagur,62.0511,-7.1939,7.46,65,75,7.72,FO,1699909997
124,bredasdorp,-34.5322,20.0403,15.79,78,3,7.62,ZA,1699909997
125,conceicao da barra,-18.5933,-39.7322,25.4,80,4,6.33,BR,1699909998
126,codrington,-38.2667,141.9667,13.35,72,100,3.02,AU,1699909998
127,katsuren-haebaru,26.3369,127.8719,18.01,77,75,3.09,JP,1699909998
128,esfarayen,37.0765,57.5101,12.02,43,13,1.19,IR,1699909983
129,san cristobal,7.7669,-72.225,27.1,59,20,2.1,VE,1699909998
130,yakeshi,49.2833,120.7333,-19.86,100,64,1.55,CN,1699909999
131,namibe,-15.1961,12.1522,23.06,67,100,4.06,AO,1699909999
132,ar rutbah,33.0381,40.2848,19.94,29,94,4.46,IQ,1699909999
133,daugavgriva,57.0432,24.0361,4.43,97,75,2.06,LV,1699909999
134,la'ie,21.6477,-157.9253,30.98,63,98,4.47,US,1699909999
135,quellon,-43.1167,-73.6167,8.64,63,80,7.0,CL,1699909745
136,marsh harbour,26.5412,-77.0636,25.61,77,68,4.35,BS,1699909999
137,kargasok,59.0556,80.8572,-6.13,93,8,4.02,RU,1699909999
138,waitangi,-43.9535,-176.5597,13.02,87,4,9.25,NZ,1699909999
139,fort bragg,35.139,-79.006,18.79,46,0,2.06,US,1699910000
140,mahibadhoo,3.7833,72.9667,27.68,74,100,2.2,MV,1699910000
141,arraial do cabo,-22.9661,-42.0278,25.92,89,75,5.14,BR,1699909765
142,lompoc,34.6391,-120.4579,24.08,61,0,5.81,US,1699910000
143,chonchi,-42.6128,-73.8092,12.84,52,55,4.23,CL,1699910000
144,uturoa,-16.7333,-151.4333,26.92,81,97,5.65,PF,1699910000
145,kavaratti,10.5669,72.642,27.46,72,93,1.37,IN,1699910000
146,ibicui,-14.8417,-39.9867,25.71,59,0,2.81,BR,1699910000
147,stanley,54.868,-1.6985,8.77,86,20,10.29,GB,1699910001
148,puerto ayora,-0.7393,-90.3518,28.98,97,75,3.58,EC,1699910001
149,utrik,11.2278,169.8474,28.08,83,53,8.49,MH,1699910001
150,el nido,11.1858,119.3956,27.83,80,99,4.63,PH,1699910001
151,castelleone,45.2939,9.7617,11.85,80,77,0.45,IT,1699910001
152,campos novos,-27.4017,-51.225,19.62,97,98,3.09,BR,1699909981
153,harstad,68.799,16.5293,-3.25,83,2,4.92,NO,1699910001
154,lesogorsk,56.0458,99.5136,-0.6,84,100,3.58,RU,1699910002
155,lebu,-37.6167,-73.65,12.38,67,20,4.74,CL,1699910002
156,sault ste. marie,46.5168,-84.3333,6.16,70,100,9.77,CA,1699910002
157,tsetserleg,47.475,101.4542,-11.89,81,99,1.81,MN,1699910002
158,twin falls,42.3505,-114.6445,15.19,13,0,8.23,US,1699910002
159,ypsonas,34.6884,32.9574,19.54,77,0,3.09,CY,1699910002
160,walvis bay,-22.9575,14.5053,15.69,87,7,1.15,NA,1699910003
161,taksimo,56.3444,114.8794,-13.07,87,58,1.12,RU,1699910003
162,panshan,41.1881,122.0494,-0.11,71,100,1.48,CN,1699910003
163,portland,45.5234,-122.6762,13.99,81,40,1.54,US,1699909765
164,ola,59.5833,151.2833,-22.7,78,89,5.45,RU,1699910003
165,karbala,32.616,44.0249,23.12,31,57,1.1,IQ,1699910003
166,novyy urengoy,66.0833,76.6333,-15.85,91,6,4.68,RU,1699910004
167,hamilton,39.1834,-84.5333,19.32,30,0,4.63,US,1699909772
168,monroe,43.1501,-77.6831,12.5,68,75,6.17,US,1699910004
169,prince rupert,54.3161,-130.3201,7.05,73,100,2.06,CA,1699910004
